Address,lon,lat,Name,City,Country,years_open,gallery_page,Gallery Image,bg_accuracy
"18, rue Godot-de-Mauroy",2.327217,48.871084,Galerie de Quatre-Chemins,Paris,France,1925-1929,http://chnm.gmu.edu/transatlanticencounters/items/show/5204,,ROOFTOP
"12, rue La Boétie",2.317782,48.8743428,Galerie Reitlinger,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5205,,ROOFTOP
"44, rue de Fleurus",2.3275,48.8466296,Galerie Rive Gauche,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5206,,ROOFTOP
"19, rue de Caumartin",2.3279902,48.8714085,Galerie Simonson,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5210,,ROOFTOP
"28, rue Vavin",2.3295211,48.8432958,Galerie Vavin-Raspail,Paris,France,1925,http://chnm.gmu.edu/transatlanticencounters/items/show/5213,,ROOFTOP
"11, rue de Seine",2.3367499,48.8568199,Galerie Vildrac,Paris,France,1910 - 1930,http://chnm.gmu.edu/transatlanticencounters/items/show/5215,,RANGE_INTERPOLATED
"16, rue de l'Abbaye",2.3339624,48.854581,Galerie Zak,Paris,France,ca. 1923-1939,http://chnm.gmu.edu/transatlanticencounters/items/show/5216,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/b7d9003c46073573bc1600553dbb168e.jpg,ROOFTOP
"26, rue de Seine",2.3366539,48.85564549999999,Galerie Zborowski,Paris,France,1926,http://chnm.gmu.edu/transatlanticencounters/items/show/5217,,ROOFTOP
"20, rue Bonaparte",2.334207,48.856013,Jacques Rodrigues Henriques,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5219,,ROOFTOP
"6, rue Huyghens",2.329056,48.8413872,Lyre et palette,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5222,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/9049f048d9a47655183305b424b88c9d.jpg,ROOFTOP
"10, ave Pierre 1er de Serbie",2.2966578,48.865475000000004,Musée Galliera,Paris,France,1894 - present,http://chnm.gmu.edu/transatlanticencounters/items/show/5225,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/58d350dc137438719b69bfbfd1f3c4b4.jpg,ROOFTOP
"17, rue Vignon",2.3260953,48.8713286,Maison Myrbor,Paris,France,1925,http://chnm.gmu.edu/transatlanticencounters/items/show/5226,,ROOFTOP
"11, rue Royale",2.32262,48.867824,Galerie de la Renaissance,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5227,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/f16665b573d0a18b27455de84b9677aa.jpg,ROOFTOP
"103, blvd du Montparnasse",2.3290835,48.8424774,Café du Parnasse,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5229,,ROOFTOP
