Name,Birth,Death,nationality_1,nationality_2,dates_in_paris,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image,address,lon,lat
"Curatella Manes, Pablo",1891,1962,Argentina,,1912-1914; 1919-1951,Académie André Lhote,"1912, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1927, 1928, 1929, 1931, 1932, 1933, 1934, 1937, 1938, 1940 Salon d'Automne<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929 Salon des Tuileries<br /> 1924, 1925, 1926, 1928 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Bas relief, La femme au gros manteau, 2 untitled sculptures)<br /> 1925 (Feb. 4-20) Galerie Vavin-Raspail (group show with Pompon, Loutchansky, De Creeft)<br /> 1925 Exposition internationale des arts décoratifs et industriels modernes (silver medal for relief sculpture Lancelot et Geneviève)<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1929 Exposition internationale de sculpture, Galerie Georges Bernheim (group show organized by Tériade that included Giacometti)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1931, 1935? Salon des Surindépendants<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (decoration for Argentine Pavillion)<br />  1939 Legion of Honor from the French government

","Aristide Maillol, Emile-Antoine Bourdelle, Maurice Denis, Paul Sérusier, Henri Laurens, Gris, Brancusi, Le Corbusier, Léger, Gleizes, Severini, Brancusi, Gargallo, Maurice Raynal, Pierre Reverdy
",NA,"sculptor; cubist; diplomat 1926-1947; secretary for the Argentine Embassy in Paris; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Legion of Honor, Académie André Lhote",NA,"15, rue Hégésippe-Moreau (1919)",2.3270981,48.8876194
"Curatella Manes, Pablo",1891,1962,Argentina,,1912-1914; 1919-1951,Académie André Lhote,"1912, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1927, 1928, 1929, 1931, 1932, 1933, 1934, 1937, 1938, 1940 Salon d'Automne<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929 Salon des Tuileries<br /> 1924, 1925, 1926, 1928 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Bas relief, La femme au gros manteau, 2 untitled sculptures)<br /> 1925 (Feb. 4-20) Galerie Vavin-Raspail (group show with Pompon, Loutchansky, De Creeft)<br /> 1925 Exposition internationale des arts décoratifs et industriels modernes (silver medal for relief sculpture Lancelot et Geneviève)<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1929 Exposition internationale de sculpture, Galerie Georges Bernheim (group show organized by Tériade that included Giacometti)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1931, 1935? Salon des Surindépendants<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (decoration for Argentine Pavillion)<br />  1939 Legion of Honor from the French government

","Aristide Maillol, Emile-Antoine Bourdelle, Maurice Denis, Paul Sérusier, Henri Laurens, Gris, Brancusi, Le Corbusier, Léger, Gleizes, Severini, Brancusi, Gargallo, Maurice Raynal, Pierre Reverdy
",NA,"sculptor; cubist; diplomat 1926-1947; secretary for the Argentine Embassy in Paris; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Legion of Honor, Académie André Lhote",NA,"74, boulevard Beaumarchais (1923)",2.3680615,48.8587092
"Curatella Manes, Pablo",1891,1962,Argentina,,1912-1914; 1919-1951,Académie André Lhote,"1912, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1927, 1928, 1929, 1931, 1932, 1933, 1934, 1937, 1938, 1940 Salon d'Automne<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929 Salon des Tuileries<br /> 1924, 1925, 1926, 1928 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Bas relief, La femme au gros manteau, 2 untitled sculptures)<br /> 1925 (Feb. 4-20) Galerie Vavin-Raspail (group show with Pompon, Loutchansky, De Creeft)<br /> 1925 Exposition internationale des arts décoratifs et industriels modernes (silver medal for relief sculpture Lancelot et Geneviève)<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1929 Exposition internationale de sculpture, Galerie Georges Bernheim (group show organized by Tériade that included Giacometti)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1931, 1935? Salon des Surindépendants<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (decoration for Argentine Pavillion)<br />  1939 Legion of Honor from the French government

","Aristide Maillol, Emile-Antoine Bourdelle, Maurice Denis, Paul Sérusier, Henri Laurens, Gris, Brancusi, Le Corbusier, Léger, Gleizes, Severini, Brancusi, Gargallo, Maurice Raynal, Pierre Reverdy
",NA,"sculptor; cubist; diplomat 1926-1947; secretary for the Argentine Embassy in Paris; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Legion of Honor, Académie André Lhote",NA,"15, rue Hégésippe-Moreau (1927)",2.3270981,48.8876194
"Damblana, Eugéne",NA,NA,Unknown,,ca. 1924,NA,"1924, 1925, 1927, 1930 Salon des Artistes Français",NA,NA,NA,Salon des Artistes Français,NA,NA,NA,NA
"Dampt, Diana de Cid J.",NA,NA,Argentina,or Brazil?),ca. 1924,NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1930 Société Nationale des Beaux-Arts",NA,NA,NA,"female, 1924 Exposition d'Art Américain-Latin, Société Nationale des Beaux Arts",NA,"17, rue Campagne-Première",2.3325339,48.839616
"Del Carpio, Elena",NA,NA,Bolivia,,ca. 1927,NA,1927 Cercle Paris-Amérique Latine (54 landscapes),NA,NA,NA,"Bolivia, female",NA,NA,NA,NA
"Del Carril, Delia",1886 or 1884,1989,Argentina,,1918-1921; 1929-1930; ca. 1930-1934,"L'Académie Moderne de Léger, 86, rue Notre Dame de Champs 1929, Académie André Lhote, 2 rue Jules Chaplain 1930",NA,NA,NA,NA,"Argentina, female, Académie André Lhote",NA,Rue Saint-Simon,NA,NA
"Del Carril, Delia",1886 or 1884,1989,Argentina,,1918-1921; 1929-1930; ca. 1930-1934,"L'Académie Moderne de Léger, 86, rue Notre Dame de Champs 1929, Académie André Lhote, 2 rue Jules Chaplain 1930",NA,NA,NA,NA,"Argentina, female, Académie André Lhote",NA,"44, Elysée Reclus",2.29854,48.8577
"Del Prete, Juan",1897,1987,Argentina,,1929-1933,NA,"1930 (Mar. 14-Apr. 1930) Galerie Zak (works brought from Buenos Aires)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1931 Galerie Vavin<br /> 1931-33 Salon des Surindépendants<br /> 1932 Salon des Surindependant with Abstraction-création: Art non-figuratif group",1932 Abstraction-création: Art non-figuratif group,"Amigos del Arte, Buenos Aires",NA,"Argentina, Galerie Zak",NA,NA,NA,NA
"Delucchi, Pierre",NA,NA,Argentina,,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA
"Derbecq Manés, Germaine C.",NA,NA,Argentina,,ca. 1923-1924,NA,"1923, 1924 Salon des Indépendants<br /> 1924 (Mar. 29-Apr. 12) Jacques Rodriques Henriques, 20, rue bonaparte (group show)",NA,NA,married to Pablo Curatella Manes;,"Argentina, Salon des Indépendants",NA,"74, boulevard Beaumarchais, XIe",2.3680615,48.8587092
"Dias, Cícero",1907,2003,Brazil,,1937-1943,NA,"1938 Galerie Jeanne Castel, text by André Salmon<br /> 1938 Galerie Billiet","Picasso, Paul Eluard during WWII",NA,NA,Brazil,NA,NA,NA,NA
"Domínguez Neira, Pedro",1894,1970,Argentina,,1929-1931,Académie André Lhote,NA,NA,NA,Grupo de Paris,"Argentina, Académie André Lhote",NA,NA,NA,NA
"Domínguez, Lorenzo",1901,1963,Chile,,1938-1939,NA,NA,"Brancusi, Bourdelle, Zadkine, Maillol, Lorains",NA,sculptor; just observed didn't create new work in Paris,Chile,NA,NA,NA,NA
"Donoso, Eduardo",1890,NA,Chile,,ca. 1924-1934,NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1928  (Portrait (reproduced in catalogue)), 1929 (Nature morte), 1930 (Nature morte, Michel (reproduced in catalogue p. 174)), 1931 Salon des Artistes Français<br /> 1934 Salon de Tuileries",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Chile, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Salon des Artistes Français",NA,"15, rue Lesueur, (XVIe)",2.2873431,48.8748759
"Donoso, Eduardo",1890,NA,Chile,,ca. 1924-1934,NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1928  (Portrait (reproduced in catalogue)), 1929 (Nature morte), 1930 (Nature morte, Michel (reproduced in catalogue p. 174)), 1931 Salon des Artistes Français<br /> 1934 Salon de Tuileries",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Chile, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Salon des Artistes Français",NA,20,NA,NA
"Donoso, Pedro Leon",1894,1956,Ecuador,,1930s?,NA,NA,NA,NA,NA,Ecuador,NA,NA,NA,NA
"Dorlhiac, Carlos",1880,1973,Chile,,never lived in Paris; his friend Andrés Launay brought his work to Paris for exhibit,NA,"1925, 1926 Société Nationale des Beaux-Arts<br /> 1928 Salon des Artistes Français",NA,NA,NA,"Chile, Salon des Artistes Français, Société Nationale des Beaux Arts",NA,NA,NA,NA
Duara,NA,NA,Brazil,,ca. 1923,NA,1923 Inaugural exhibition at the Maison de l'Amérique Latine<br />,NA,NA,NA,Brazil,NA,NA,NA,NA
"Dutra, Alipio",1897,1964,Brazil,,1919-,Académie Julian,"1923 Salon des Artistes Français<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924 Salon des Artistes Français",NA,NA,NA,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français, Académie Julian",NA,"4, rue Belloni, Paris (XVe)",2.2827086,48.8610838
"Egas, Camilo",NA,NA,Ecuador,,1924-1925,Académie Colarossi,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Portrait de l'auteur par lui-même, 2 Nature morte)<br /> 1925 Commissioner of fine arts Ecuadorian pavilion (not built), 1925 Exposition internationale des arts décoratifs et industriels modernes<br /> 1925 Salon des Indépendants (Portrait de jeunes filles, Race indienne)<br /> 1925 Salon d’Automne (Idole Equateur, Repos)<br /> 1925 (Sept. 26-Oct. 15) Exposition peintures de Camilo Egas Galerie Carmine",NA,NA,sells Personnages mexicains in 1926 for 450f (not sure this is right),"Ecuador, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Académie Colarossi, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes",NA,"1, rue Racine, Paris (Vie) (1924)",2.3422701,48.8501938
"Egas, Camilo",NA,NA,Ecuador,,1924-1925,Académie Colarossi,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Portrait de l'auteur par lui-même, 2 Nature morte)<br /> 1925 Commissioner of fine arts Ecuadorian pavilion (not built), 1925 Exposition internationale des arts décoratifs et industriels modernes<br /> 1925 Salon des Indépendants (Portrait de jeunes filles, Race indienne)<br /> 1925 Salon d’Automne (Idole Equateur, Repos)<br /> 1925 (Sept. 26-Oct. 15) Exposition peintures de Camilo Egas Galerie Carmine",NA,NA,sells Personnages mexicains in 1926 for 450f (not sure this is right),"Ecuador, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Académie Colarossi, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes",NA,"1, avenue de la République XIe (1925)",2.3660679,48.8671134
"Eguiluz, Augusto",1894,1969,Chile,,1928-1930,Académie de la Grand Chaumière,NA,NA,yes,NA,Chile,NA,NA,NA,NA
"Enríquez, Carlos",1901,1957,Cuba,,1930-1933,NA,NA,Surrealism,NA,NA,Cuba,NA,hotel on Passage Dareaux,2.3397714,48.8316043
"Espinoza (or s) Macedo (or Caceda or Paceda), Romano",1897,?,Peru,,ca. 1927-1937,NA,1928 Salon d'Autonme<br /> 1930 exhibition?<br /> 1928 Salon des Artistes Français<br /> 1928 Salon d'Automne (Groupe préhistorique-photograph<br /> Chef indien-sculpture)<br /> 1931 Société National des Beaux-Arts,NA,NA,"sculptor; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Peru, Salon d'Automne, Salon des Artistes Français",NA,NA,NA,NA
"Espinoza Viale, Mme",NA,NA,Unknown,,NA,NA,1928 Société Nationale des Beaux-Arts,NA,NA,NA,"female, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Etchessary, Isabel de",NA,NA,Argentina,,1922-1924 (or longer),NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Danseuses, Etudes de mouvement)",NA,NA,known primarily as a dancer,"Argentina, female, 1924 Exposition d'Art Américain-Latin",NA,"93, boulevard Berthier (XVIIe)",2.2945209,48.8856867
"Fabres, Oscar",1894,1960,Chile,,1925-1929 (probably longer),NA,NA,NA,NA,commercial artist and illustrator; published Longchamp book of drawings with preface by Foujita in 1928,Chile,NA,NA,NA,NA
"Fagundes, Guiomar",1896,1975,Brazil,,ca. 1930,NA,1930 Société Nationale des Beaux-Arts,NA,NA,NA,"Brazil, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Felix, José",NA,NA,Peru,,ca. 1923-1924,NA,"1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Marguerite (nu), Passage des condors, Portrait de l'auteur)",NA,NA,NA,"Peru, 1924 Exposition d'Art Américain-Latin",NA,"8, rue Geoffroy-Maris, Paris (IXe)",2.3440206,48.8734465
"Fernández, Carlos",NA,NA,Cuba,,1937,NA,NA,NA,NA,NA,Cuba,NA,NA,NA,NA
"Ferreyra, Rose-Malvina",NA,NA,Argentina,,NA,NA,1927 Salon ?,NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930;","Argentina, female",NA,NA,NA,NA
"Figari, Juan Carlos",1894,1927,Uruguay,,NA,"MM G. Clara, P.A. Laurens, Eschbach, Roger",NA,NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; son of Pedro Figari",Uruguay,NA,NA,NA,NA
"Figari, Pedro",1861,1938,Uruguay,,"1913, 1925-1933",NA,"1923 (Nov. 5-16) Exposition Pedro Figari: Scènes de la Vie Sud-Américaine Galerie Druet<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Pericon, Candombe, Tucanes, Visita, Asesinato de Quirigua, Fiesta en el pueblo, Candombe)<br /> 1925 (Oct. 19-30) Exposition Pedro Figari, Galerie Druet<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper (one work)<br /> 1927 (Oct. 29-Nov. 10) Exposition Pedro Figari, Galerie Druet<br /> 1929 (May) Legación del Uruguay<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br />  1931 (Jun.) Evocations Sud-Américains, Galerie Castelucho-Diana<br /> 1932 Peintres d'aujourd'hui, de Courbet à nos jours (group show)",NA,NA,"diplomat; not in Paris for Musée Galliera show works came from collections in Paris (Jules, Violette, LB Supervielle, Martin Lasala); published Art, Esthétique, Idéal in French in 1920; sells Danse créole in 1926 for 6700f","Uruguay, 1924 Exposition d'Art Américain-Latin, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",NA,"13, Place du Phantéon (Latin Quarter)",2.3454379,48.8455307
"Fioravanti, José",1896,1977,Argentina,,"1924-1927, 1929-1935",NA,"1926 Galerie Barbazanges (M. Martinez de Hoz)<br /> 1934 ( Dec.) Exposition de Sculpture Monumentales de José Fiorvanti Musée des écoles étrangères contemporaines, Jeu de Paume des Tuileries<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal",NA,NA,sculptor,"1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Argentina",NA,D'Alésia et Tombe Issoire,2.3325422,48.8278228
"Fioravanti, José",1896,1977,Argentina,,"1924-1927, 1929-1935",NA,"1926 Galerie Barbazanges (M. Martinez de Hoz)<br /> 1934 ( Dec.) Exposition de Sculpture Monumentales de José Fiorvanti Musée des écoles étrangères contemporaines, Jeu de Paume des Tuileries<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal",NA,NA,sculptor,"1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Argentina",NA,rue Vercingetorix,NA,NA
"Fonseca, Gaston de",1874,1954,Brazil,,ca. 1921-1943,NA,"1921, 1923, 1924, 1925, 1926, 1933, 1934, 1936, 1937, 1943 Salon des Indépendants<br /> 1932, 1933, 1934, 1935 Salon d'Automne<br /> 1929 Legion of Honor",NA,NA,NA,"Brazil, Legion of Honor",NA,"53, rue Beaunier, XIVe",2.3266085,48.8245698
"Fontana, Lucio",1899,1968,Argentina,Italian parents),ca. 1935-1939,NA,"1934 Abstraction-Création group<br /> 1937 Sevrés factory, Paris",NA,NA,NA,Argentina,NA,NA,NA,NA
"Forner, Raquel",1902,1988,Argentina,,1929-1931,Académie Scandinave with Othon Friesz,"1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1930 Salon des Tuileries<br /> 1930  (Apr. 11-24) Première exposition du groupe latino-americain de Paris Galerie Zak<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (gold medal)",NA,yes,Grupo de Paris; married to Alfredo Bigatti,"Argentina, female, 1930 Exposition du Groupe Latino-Americain, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",NA,NA,NA,NA
"Fossa-Calderon, Julio-E.",1874,1946,Chile,,"1923, 1929-1930","Cormon, J.P. Laurens","1923, 1924, 1929 (Mère et enfant, La robe blanche (illustrated in catalogue p. 128)), 1930, 1936 (honorable mention) Salon des Artistes Français<br /> 1926 Société National des Beaux-Arts",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Chile, Salon des Artistes Français, Société Nationale des Beaux Arts",NA,"41, rue Pascal",2.3486838,48.8360949
"Franck, L.",NA,NA,Uruguay,,NA,NA,1931 Salon des Indépendants,NA,NA,NA,"Uruguay, Salon des Indépendants",NA,NA,NA,NA
"Gabrielli, Torricelli",NA,NA,Unknown,,NA,NA,1927 Salon?,NA,NA,NA,NA,NA,NA,NA,NA
"Galvao, Alfredo",1900,NA,Brazil,,NA,NA,1931 Société Nationale des Beaux-Arts,NA,NA,NA,"Brazil, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Garafulic, Lily",1914,NA,Chile,,1938,NA,NA,Brancusi,NA,"Trip was very early in career, right after college. Traveled all around Europe.","Chile, female",NA,NA,NA,NA
"Garavito, Humberto",1897,1970,Guatemala,,1922-1926 (also in Madrid during this period),Académie Ranson,1925 (Nov. 16-30) Galerie Carmine,NA,NA,NA,"Guatemala, Académie Ranson, Académie Ranson",NA,Rue Pascal,NA,NA
"Garcia, Gregorio",1908,1932,Venezuela,,1930,NA,"1930 Société des Artistes Français (Criola, Cabeza Tipica)",NA,NA,sculptor,"Venezuela, Salon des Artistes Français",NA,"135, Este 4",NA,NA
"Gattorno, Antonio",1904,1980,Cuba,,1920-1927 (parts in Paris),NA,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Paysage, Les soeurs)","Georges Rouault, Jules Pascin",yes since 1921,NA,"Cuba, 1924 Exposition d'Art Américain-Latin",NA,"64, avenue du Maine, Paris (XIVe), shared studio with Juan José Sicre",2.3216734,48.8400966
"Gavazzo Buchardo, Juan Manuel",1888,1965,Argentina,,1917-1924; 1925-1933,Académie Ranson,"1922 Salon d'Automne<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br />  1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine<br /> Exhibition in his studio Blvd. Raspail 216<br /> 1932 Salon des Tuileries",Maurice Denis,no,"Canciller de Segunda en el Consulado General de la República en Paris; Asociación de Artistas Argentinos en Europa; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Tuileries, Académie Ranson",NA,"7, rue Joseph-Bara",2.3335611,48.8419364
"Gavazzo Buchardo, Juan Manuel",1888,1965,Argentina,,1917-1924; 1925-1933,Académie Ranson,"1922 Salon d'Automne<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br />  1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine<br /> Exhibition in his studio Blvd. Raspail 216<br /> 1932 Salon des Tuileries",Maurice Denis,no,"Canciller de Segunda en el Consulado General de la República en Paris; Asociación de Artistas Argentinos en Europa; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Tuileries, Académie Ranson",NA,"216, boulevard Raspail",2.3297034,48.8406758
"Gavazzo Buchardo, Juan Manuel",1888,1965,Argentina,,1917-1924; 1925-1933,Académie Ranson,"1922 Salon d'Automne<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br />  1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine<br /> Exhibition in his studio Blvd. Raspail 216<br /> 1932 Salon des Tuileries",Maurice Denis,no,"Canciller de Segunda en el Consulado General de la República en Paris; Asociación de Artistas Argentinos en Europa; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Tuileries, Académie Ranson",NA,"9, rue de Montsouris (XIVe)",2.3338592,48.8222313
"Gazmuri, Hernán",1900,1979,Chile,,1928-1931,Académie André Lhote (1928); Fernand Léger; L'Ecole du Louvre (art history and aesthetics); Sorbonne (Letres with Victor Bach and Henry Schneider),NA,"Saw exhibitions by Klee, Chagall, Mondrian",no,Claims he was not associated with Grupo de Montparnasse,"Académie André Lhote, Chile",NA,NA,NA,NA
"Giorgi, Bruno",1905,1993,Brazil,,1937-1939,Académie de la grand Chaumière; Académie Ranson,"1938, 1939 Salon des Tuileries<br /> 1938 Salon d'Automne","Maillol, Despiau",NA,"sculptor; member of Associatoin des peinters et sculpteurs in Paris, 1939","Brazil, Salon d'Automne, Salon des Tuileries, Académie Ranson",NA,NA,NA,NA
"Gómez Jaramillo, Ignacio",1910,1970,Colombia,,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA
"Gómez, Pedro Nel",1889,1984,Colombia,,1925 (1 month)-mostly in Italy,NA,NA,NA,NA,organized Primera Exposición de Artistas Centro y Sudamericanos residentes en Italia in Rome in Apr 15-May 15 1928 at  Casa de España and Salon del Circulo Artistco Internacional de Roma,Colombia,NA,NA,NA,NA
"Gomide, Antonio",1895,1965,Brazil,,"1921, 1924-1926, 1928-1929",NA,1924 Salon des Indépendants,"Picasso, Braque, Lhote, Picabia, Severini",NA,NA,"Brazil, Salon des Indépendants",NA,"52, rue Vercingétorix (listed Brecheret's studio)",2.3172233,48.8368924
"Gomide, Regina",1897,1973,Brazil,,ca. 1923,NA,NA,NA,NA,Married to Swiss artist John Graz; They moved to Brazil together in 1920;  may have sent paintings to salons,"Brazil, female",NA,NA,NA,NA
"Gonzales-Moreno, Antonio",1896,1970,Argentina,,cs. 1924-1934,"J.P. Laurens, Royer, Déchenaud","1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Jazz-Band)",NA,NA,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, 1924 Exposition d'Art Américain-Latin",NA,"5, rue Cassini",2.3375469,48.8368067
"González Gamarra or Camarra, Francisco",1890,1972,Peru,,ca. 1926,NA,1926 exhibition,NA,NA,NA,Peru,NA,NA,NA,NA
"González M., Antonio",1896,1968,Argentina,,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA
"González Trujillo, Alejandro (Apuimak)",1900,1985,Peru,,1936-1938?,"Académie Julian (Jan.-Apr. 1932? only Gonzalez, Peru listed in archives)",exhibitions in Paris and Belgium,NA,NA,NA,"Peru, Académie Julian",NA,NA,NA,NA
"González, Eva",NA,NA,Unknown,,ca. 1932,NA,1932 exhibition ?,NA,NA,Is this perhaps 19th c. Impressionist?,female,NA,NA,NA,NA
"González, Lorenzo",1877,1948,Venezuela,,ca. 1919-1930,NA,NA,NA,NA,sculptor,Venezuela,NA,NA,NA,NA
"Gorastiaga, Maria",NA,NA,Unknown,,NA,NA,"1926 Société Nationale des Beaux-Arts<br /> 1928, 1930 Salon des Artistes Français",NA,NA,NA,"female, Salon des Artistes Français, Société Nationale des Beaux Arts",NA,NA,NA,NA
"Grau, Ricardo",1907,1970,Peru,born in France),1925-1937,"Ecole Superior de Beaux Artes, Paris (c. 1926); Académie André Lhote, Othon Friesz, Fernand Léger, André Favory, Picard-Le Deux, Académie Ranson, Amédée Dubois de la Patellière and Brissière","1931, 1932 Salon des Indépendants<br /> 1932 Salon d'automne<br /> 1932, 1933 Salon des Tuileries<br /> 1932 Galerie Toison d'Or, Brussels<br /> 1932 Galerie Manteau, Brussels<br /> 1935 Galerie Zak","Dali, Magritte, Breton",NA,NA,"Peru, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, Galerie Zak, Académie André Lhote, Académie Ranson",NA,"416, chaussée de Waterloo, Brussels (1931)",4.3556268,50.8220898
